SERVICE_ID,CHAR_ID,CHAR_NAME,CHAR_TYPE,CHAR_PROPERTIES,CHAR_UUID
SERVICE_SYSTEM,CHAR_DATETIME,Datetime,UINT32,RW,00000001-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_MAC,MAC,BYTEARRAY,R,00000002-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_NAME,Name,STRING,RW,00000003-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_ERROR_CODE,Error code,BYTEARRAY,R+NOTIFY,00000004-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_FW_VERSION,Firmware version,STRING,R,00000005-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_MODEL_TYPE,Model type,STRING,R,00000006-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_RESTORE_DEVICE,Restore factory settings,UINT8,W,00000007-0001-3233-544D-5348524F4C59
SERVICE_SYSTEM,CHAR_REBOOT_DEVICE,Reboot device,UINT8,W,00000008-0001-3233-544D-5348524F4C59
SERVICE_MONITORING,CHAR_TEMPERATURE,Temperature,FLOAT,R,00000001-0002-3233-544D-5348524F4C59
SERVICE_MONITORING,CHAR_HUMIDITY,Humidity,FLOAT,R,00000002-0002-3233-544D-5348524F4C59
SERVICE_MONITORING,CHAR_WATER_LEVEL,Water level percent,FLOAT,R,00000003-0002-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_VBUS,VBUS voltage,FLOAT,R,00000001-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_TOUCH_STATUS,Touch button status,UINT8,R,00000002-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_WATER_CAP,Water level capacitance,FLOAT,R,00000003-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_FAN_DUTY,Fan duty cycle,UINT8,RW,00000004-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_FAN_SPEED,Fan speed,UINT16,R,00000005-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_MANUAL_CTRL,Manual control on,UINT8,RW,00000006-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_WHITE_LED,White LED brightness,UINT8,RW,00000007-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_HUMIDIFIER,Humidifier on,UINT8,RW,00000008-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_RGB_COLOR,RGB LED color,BYTEARRAY,RW,00000009-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_RGB_EFFECT,RGB LED animation type,UINT8,RW,0000000A-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_BUZZER_FREQ,Buzzer frequency,UINT16,RW,0000000B-0003-3233-544D-5348524F4C59
SERVICE_DEBUG,CHAR_BUZZER_STATUS,Buzzer status,UINT8,RW,0000000C-0003-3233-544D-5348524F4C59
SERVICE_OTA,CHAR_OTA_CTRL,OTA control,UINT8,RW+NOTIFY,00000001-0004-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_CTRL,File transfer control,UINT8,W,00000001-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_MAX_LEN,File max file length,UINT32,R,00000002-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_LEN,File transfer file length,UINT32,W,00000003-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_BLOCK,File transfer file block,UINT8,W,00000004-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_CHKSUM,File transfer file checksum,UINT32,W,00000005-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_NAME,File transfer file name,STRING,W,00000006-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_STATUS,File transfer status,UINT8,R+NOTIFY,00000007-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_DELETE,File delete,UINT8,W+NOTIFY,00000008-0005-3233-544D-5348524F4C59
SERVICE_FILE_TRANSFER,CHAR_FILE_RENAME,File transfer rename,STRING,W,00000009-0005-3233-544D-5348524F4C59
SERVICE_PROGRAM_CTRL,CHAR_PROGRAM_NAME,Program name,STRING,RW,00000001-0006-3233-544D-5348524F4C59
SERVICE_PROGRAM_CTRL,CHAR_PROGRAM_STATUS,Program status,UINT8,R+NOTIFY,00000002-0006-3233-544D-5348524F4C59
